"Lfd.
Nr.",PE,Versammlungsmelder,Thema,Ort d. Versammlung / Aufzugsstrecke,"Datum der
Versammlung",Uhrzeit der Versammlung
1,2021-05-03 00:00:00,Neue Stärke Partei,Erster Mai 2022 in Erfurt - kein Frieden mit System und Kapital!,Aufzug Domplatz --> Innenstadt --> Willy-Brandt-Platz,2022-05-01 00:00:00,12.00 - 18.00 Uhr
2,2021-11-03 00:00:00,DGB Region Thüringen,2022-05-01 00:00:00,"Aufzug TSK --> Anger, Anger Kundgebung",2022-05-01 00:00:00,06.00 - 18.00 Uhr
3,2021-11-23 00:00:00,Omas gegen Rechts Erfurt e.V.,Demokratisches Erfurt - Nazifreie Zone,Domplatz - Südseite,2022-05-01 00:00:00,08.00 - 20.00 Uhr
4,2021-11-23 00:00:00,Grüne Jugend Erfurt,1. Mai - Nazifrei - Die NSE gehört nicht her,Fischmarkt ggü Rathaus,2022-05-01 00:00:00,10:00 - 18:00 Uhr
5,2021-12-08 00:00:00,"Linksjugend [`solid] OG Erfurt
ABGESAGT 29.04.2022",1. Mai - Erfurt bleibt Nazifrei,"Hauptbahnhof-Südseite, Fußweg zwischen Fahrradstellplatz & Fußgängerampel zur Windhorststraße",2022-05-01 00:00:00,10.00  - 18.00 Uhr
6,2021-12-16 00:00:00,Brennesel e.V.,One Billion Rising: weltweite Aktion gegen Gewalt an Frauen,Angerdreieck,2022-02-14 00:00:00,15:30 - 18:00 Uhr
7,2021-12-20 00:00:00,Einzelperson,"""Klima-Mahnwache""",Fischmarkt,27.12.2021 - 31.01.2022,16:55 - 17:15 Uhr
8,2021-12-22 00:00:00,Omas gegen Rechts Erfurt e.V.,Menschenkette für Demokratie und Rücksichtnahme in der Pandemie,Domplatz --> Innenstadt --> Domplatz,2022-01-08 00:00:00,14.00 - 16.00 Uhr
9,2018-02-15 00:00:00,Einzelperson,ein chrisitliches Zeichen setzen + Mahnwache,Erfurt Marbach St-Christophorus-Straße,"03.01.2022
10.01.2022
17.01.2022
24.01.2022
31.01.2022",19:00 - 20:30 Uhr
10,2022-01-05 00:00:00,AfD-Landesverband Thüringen ABGESAGT ,"Wo sind unsere Grundrechte hin, Her Maier!!",Erfurt Anger ggü Hugendubel,2022-01-10 00:00:00,16:00 - 17:00 Uhr
11,2022-01-10 00:00:00,Anonymus for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2022-01-22 00:00:00,15:00 - 18:00 Uhr
12,2022-01-11 00:00:00,Grüne Jugend Erfurt,Querdenken blockieren! Gegen Verschwörungsideologien - für eine solidarische Pandemiebekämpfung,Angerdreieck,2022-01-17 00:00:00,19.00 - 21.00 Uhr
13,2022-01-11 00:00:00,Bürgerinitiative Lebensraum Apfelstädt,"Unterstützung der Anhörung unserer Petitions-/ Umweltausschuss am 20.01.2022 um 17:30 Uhr, für den Erhalt der Flora und Fauina in und am Flusslauf der Apfelstädt","Jürgen-Fuchs-Straße 1, 99096 Erfurt
Thüringer Landtag",2022-01-20 00:00:00,16:30 - 19:30 Uhr
14,2022-01-12 00:00:00,Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus ,"27.01.2022 Hart IV in Zeiten der Inflation
24.02.2022 Rentenpolitik
10.03.2022 Weltfrauentag
14.04.2022 Ostermarsch
12.05.2022 Zum Tag der Befreiung vom Faschismus
09.06.2022 Klima- Umweltpolitik",Angerdreieck,"27.01.2022
24.02.2022
10.03.2022
14.04.2022
12.05.2022
09.06.2022",jeweils von 17:00 - 18:00 Uhr
15,2022-01-17 00:00:00,Ver.di Vereinte Dienstleistungsgewerkschaft Bezrik Thüringen,Unterstützung der Tarifverhandlungen öffentlcihe Banken (ink. Social Media),Domplatz (Obelisk),2022-01-18 00:00:00,09:00 - 10:30 Uhr
16,2022-01-24 00:00:00,SPD Erfurt ABGESAGT !!,Tag der Arbeit - Mindestlohn für ein Mindestmaß an Fairness,Leipziger Platz,2022-05-01 00:00:00,10:00 - 16:00 Uhr
17,2022-01-25 00:00:00,Auf die Plätze - Bündnis,Widerstand is` wunderbar - durchgeimpfte Antifa,Angerdreieck,2022-01-31 00:00:00,18.00 - 20.30 Uhr
18,2022-01-26 00:00:00,Einzelperson,Keine Bebauung in Schmira - Nord,vor der Thüringenhalle ,2022-01-26 00:00:00,16.30 - 17.30 Uhr
19,2022-01-26 00:00:00,AfD-Kreisverband Mittelthüringen,Gesund ohne Zwang    Bescheid am Vorgang 019/22,Angerdreieck,2022-01-29 00:00:00,09:00 - 10:30 Uhr
20,2022-01-26 00:00:00,Afd-Kreisverband Mittelthüringen,Gesund ohne Zwang,Angerdreieck,2022-01-31 00:00:00,12:00 - 13:30 Uhr
21,2022-01-26 00:00:00,AfD-Kreisverband Mittelthüringen,Gesund ohne Zwang,Angerdreieck,2022-02-07 00:00:00,12:00 - 13:30 Uhr
22,2022-01-26 00:00:00,AfD-Kreisverband Mittelthüringen,Gesund ohne Zwang,Angerdreieck,2022-02-12 00:00:00,12:00 - 13:30 Uhr
23,2022-01-26 00:00:00,AfD-Kreisverband Mittelthüringen,Gesund ohne Zwang,vor Anger 1,2022-02-14 00:00:00,15:00 - 16:30 Uhr
24,2022-01-26 00:00:00,FKK - Freie Kulturkarawane,Rave in Solidarity - keine Dezibil nach rechts,Johann-Sebastian-Bach-Straße/ Arnstädter Straße,2022-05-01 00:00:00,09:00 - 22.00 Uhr
25,2022-01-26 00:00:00,Grüne Jugend Erfurt,Querdenken blockieren! - für eine solidarische Coronapolitik!,zwischen Neuwerkstraße 3 und 6,2022-01-29 00:00:00,15.00 - 17.00 Uhr
26,2022-01-31 00:00:00,Grüne Jugend Erfurt,Querdenken blockieren! - für eine solidarische Coronapolitik!,Angerdreieck,2022-02-02 00:00:00,18.30 - 20.30 Uhr
27,2022-01-31 00:00:00,Einzelperson,Klima-Mahnwache,Fischmarkt,01.02.2022 - 28.02.2022,17.00 - 17.15 Uhr
28,2022-02-01 00:00:00,"Europabüro Reinhard Bütikofer, MdEP",Fotoaktion Olympia: Menschenrechte in China,Angerdreieck,2022-02-04 00:00:00,14.15 - 14.45 Uhr
29,2018-02-15 00:00:00,Einzelperson,ein christliches Zeichen setzen + Mahnwache,Erfurt Marbach St-Christophorus-Straße,"07.02.2022
14.02.2022
21.02.2022
28.02.2022",19.00 - 20.30 Uhr
30,2022-02-01 00:00:00,Seebrücke Erfurt,"2 Jahre nach dem rassistischen Anschlag in Hanau: Erinnerung, Gerechtigkeit, Aufklärung, Konsequenzen!",Angerdreieck,2022-02-19 00:00:00,13:30 - 16.30 Uhr
31,2022-02-03 00:00:00,Internationalistisches Bündnis Erfurt,Sofortiger Stopp der Angriffe der Türkei auf die kurdischen Gebiete,Aufzug: Willy-Brandt-Platz --> Bahnhofstraße --> Angerdreieck,2022-02-04 00:00:00,16.30- 17.30 Uhr
32,2022-02-03 00:00:00,ver.di Thüringen,Für gute Arbeitsbedingungen in der AWO Thüringen,Wiese innere Johannesmauer/ i.H. Johannesstraße 59 ,2022-03-08 00:00:00,16.00 - 18.30 Uhr
33,2022-02-02 00:00:00,Frauenzentrum Brennessel e.V.,08. März Frauentag,Aufzug Willy-Brandt-Platz --> Innenstadt --> Angerdreieck,2022-03-08 00:00:00,12.30 - 18.30 Uhr
34,2022-02-03 00:00:00,Initiative Tag gegen Rassismus,Tag gegen alle Arten von Rassismus,Domplatz --> Innenstadt --> Willy-Brandt-Platz,2022-03-21 00:00:00,17.00 - 20.00 Uhr
35,2022-02-10 00:00:00,Einzelperson,Wir lassen uns die Demokratie nicht nehmen - ein Zeichen gegen das unsolidarische Verhalten der Schwurbler!,vor der Staatskanzlei,2022-02-12 00:00:00,15.30 - …
36,2022-02-10 00:00:00,Grüne Jugend Erfurt,Kein Bock auf Querdenken! Gegen Verschwörungsideologien,Angerdreieck,2022-02-14 00:00:00,18.30 - 21.00 Uhr
37,2022-02-10 00:00:00,"DIE LINKE Stadtverband Erfurt
",Aufruf zum Frieden: Keine Eskalation der Ukraine-Krise!,Angerdreieck,2022-02-18 00:00:00,16.00 - 18.00 Uhr
38,2022-02-10 00:00:00,Einzelperson,Freiden>>>Freiheit>>>Demokratie,Stadtgebiet Erfurt/ Autokorso,2022-03-05 00:00:00,13.30 - 17.00 Uhr
39,2022-02-14 00:00:00,Ver.di Vereinte Dienstleistungsgewerkschaft Bezirk Thüringen,Unterstützung Tarifverhandlungen der Privaten Banken,"Juri-Gagarin-Ring 86, 99084 Erfurt vor ComTS Gebäude",2022-02-15 00:00:00,09.15 - 12.00 Uhr
40,2022-02-14 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck oder Anger Lutherdenmkal ,2022-02-19 00:00:00,15.00 - 18.00 Uhr
41,2022-02-14 00:00:00,MigraNetz Thüringen e.V.,Erinnerung an die Opfer von Hanau,Angerdreieck,2022-02-19 00:00:00,17.00 - 20.00 Uhr
42,2022-02-14 00:00:00,Fridays for Future Erfurt,Globaler Klimastreik,Aufzzug: Domplatz (Auftaktkundgebung 30 Min.) --> Markstraße --> Schlösserstraße (Zwischenkundgebung 30 Min.) --> Bahnhofstraße --> Juri-Gagarin-Ring --> (Zwischenkundgebung Höhe Krämpferstraße 30 Min.) --> Meienbergstraße --> Rathausbrücke --> Fischmarkt --> Marktstraße --> Domplatz (Abschlusskundgebung 90 Min),2022-03-25 00:00:00,15.00 - 19.00 Uhr
43,2022-02-15 00:00:00,DGB Stadtverband Erfurt,Equal Pay Day,Fischmakrt vor dem Rathaus,2022-03-07 00:00:00,15.00 - 17.00 Uhr
44,2022-02-15 00:00:00,VCD,"Critical Mass - ""Warum hört der Fahrradweg einfach hier auf?""",Aufzug: Willy-Brandt-Platz --> Bahnhofstraße --> Anger --> Schlösserstraße --> Fischmarkt --> Marktstraße --> Domplatz links --> links Kettenstraße --> Lange Brücke --> links Paulstraße --> Meister-Eckehart-Straße --> rechts Regierungsstraße --> links Lutherstraße --> Karl-Marx-Platz --> Juri-Gagarin-Ring --> links Krämpferstraße --> rechts Johannesstraße --> links Augustinerstraße --> rechts Am Hügel --> Juri-Gagarin-Ring --> links Franckestraße --> Schlachthofstraße --> rechts Liebknkechtstraße --> Thälmannstraße --> Trommsdorffstraße --> links Juri-Gagarin-Ring --> Karl-Marx-Platz --> links Dalbergsweg --> Walkmühlstraße --> Bonifaciusstraße --> rechts Bonemilchstraße --> rechts Maximilian-Welsch-Straße --> Lauentor --> Domplatz --> links Andreasstraße --> rechts Große Ackerhofsgasse --> rechts Moritzstraße --> rechts Marbacher Gasse --> links Weiße Gasse --> links Andreasstraße --> Domplatz SÜD ,2022-02-25 00:00:00,18.30 - 20.00 Uhr
45,2022-02-15 00:00:00,Einzelperson,Tanzen für Frieden,Domplatz,2022-03-06 00:00:00,11.00 - 11.30 Uhr
46,2022-02-16 00:00:00,"Bürger für Thüringen
",Keine Impfpflicht - auch nicht für Gesundheitsberufe,"Hugo-Preuß-Platz 1, 99084 Erfurt (Wiese vor dem Gericht)",2022-03-13 00:00:00,13.00 - 15.00 Uhr
47,2022-02-22 00:00:00,Klimacamp Erfurt,Protestcamp für Klimagerechtigkeit - Bürgerbeteiligung beim Klimaschutzkonzept der Stadt Erfurt nicht verschlafen!,Fischmarkt,23.04.2022 - 30.04.2022,ganztägig
48,2022-02-22 00:00:00,Kultur-Verein Mesopotamien Erfurt,Newroz-Fest,Wiese vor dem Nordbad,2022-03-26 00:00:00,10.00 - 20.00 Uhr
49,2022-02-23 00:00:00,Junge Union Erfurt,Frieden in Europa und Solidarität mit der Ukraine,Fischmarkt,2022-02-23 00:00:00,17.30 - 18.30 Uhr
50,2022-02-23 00:00:00,Grüne Jugend Erfurt,Frieden für die Ukraine,Fischmarkt,2022-02-25 00:00:00,18.00 - 19.30 Uhr
51,2022-02-23 00:00:00,Einzelperson,European for Freedom Infotour,Parkplatz Moskauer Platz Nordhäuser Straße Riethstraße Mittelhäuser straße Magdeburger allee Johannesstraße Juri-Gagarin-Ring Bürgermeister Wagner Straße Willy-Brandt Platz (Zwischenkundgebung) Bahmhofstraße Juri-Gagarin Ring Dalbergsweg Walkmühlstraße Bonifaciusstraße Heinrichstraße Binderslebener Landstraße Biereyestraße Albrechtstraße Blumenstraße Nordhäusr Straße Moskauer Straße Parkplatz Moskauer Platz,2022-02-26 00:00:00,9:30 Uhr -12:00Uhr
52,2022-02-23 00:00:00,Neue Stärke Partei,Heraus zum 01. Mai 2022 in Erfurt - Meinungsparagraphen abschaffen!,"Vilnius Passage
Abzweig Wiesenhügel
Gothaer Platz",2022-02-26 00:00:00,"12.00 - 13.00 Uhr
14.00 - 15.00 Uhr
16.00 - 17.00 Uhr"
53,2022-02-24 00:00:00,Verein Ukrainischer Landsleute in Thüringen,Support Ukraine / Stand with Ukraine,Angerdreieck,2022-02-24 00:00:00,16:30-17:30 Uhr
54,2022-02-24 00:00:00,CDU Erfurt,Demonstration für die Ukraine und gegen die russische Invasion ,Fischmarkt,2022-02-26 00:00:00,13.00 - 14.30 Uhr
55,2022-02-24 00:00:00,Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus ,Gemeinsam gegen die Kriegsgefahr!,Angerdreieck,2022-02-25 00:00:00,17.00 - 18.00 Uhr
56,2022-02-24 00:00:00,Einzelperson,Journalist*innen schützen - Pressearbeit sichern,Regierungsstraße 73               abgesagt,2022-03-05 00:00:00,15.00 - 17.30 Uhr
57,2022-02-27 00:00:00,Der III. Weg,Erfurt erwache,vor Anger 1,2022-03-05 00:00:00,10.00 - 12.00 Uhr
58,2022-02-26 00:00:00,Jugendverband REBELL,Rebellion gegen alle Kriegstreiber!,Angerdreieck,2022-02-28 00:00:00,16.00 - 18.00 Uhr
59,2022-02-24 00:00:00,"DIE LINKE Stadtverband Erfurt
",Aufruf zum Frieden: Sofortiger Stop der Kampfhandlungen in der Ukraine! Alla an den Verhandlungstisch!,Angerdreieck,2022-03-04 00:00:00,16.00 - 17.30 Uhr
60,2022-02-28 00:00:00,BÜNDNIS 90/DIE GRÜNEN Landesverband Thüringen,Mahnwache: Solidarität mit der Ukraine,Willy-Brandt-Platz,2022-03-01 00:00:00,15.30 - 18.00 Uhr
61,2022-03-01 00:00:00,Einzelperson,Klima-Mahnwache,Fischmarkt,01.03.2022 - 31.03.2022,tgl. von 17.00 - 17.15 Uhr
62,2022-02-28 00:00:00,"Fridays for Future Erfurt
ABGESAGT!!!","""Klimagerechtigkeit und soziale Gerechtigkeit gehören zusammen""",Theaterplatz,2022-05-01 00:00:00,10.00 - 16.00 Uhr
63,2022-03-01 00:00:00,"CDU Erfurt, SPD Erfurt, Linde Erfurt, Freie Wähler, Piraten, FDP, Mehrwertstadt, Bündnis 90/ Grüne","""Kein Krieg in der Ukraine - Frieden für Europa""",Domplatz,2022-03-05 00:00:00,15:30 - 17:00 Uhr
64,2022-03-02 00:00:00,"Fridays for Future Erfurt
",Solidarität mit der Ukraine,Domplatz,2022-03-03 00:00:00,18.30 - 20.30 Uhr
65,2022-03-02 00:00:00,SjD - Die Falken KV Erfurt,Kundgebung gegen Kriegs-Aufrüstung,Angerdreieck,2022-03-09 00:00:00,17.00 - 19.00 Uhr
66,2022-03-01 00:00:00,"Gewerkschaft Erziehung und Wissenschaft Thüringen
",#fairness - Sonderpädagogische Fachkräfte sind mehr wert,Grünfläche Werner-Seelenbinder-Straße Ecke Friedrich-Ebert-Straße,2022-04-06 00:00:00,16.00 - 18.00 Uhr
67,2022-03-03 00:00:00,"Bündnis 8. Mai
","Vorabenddemo zum 8. Mai, Tag der Befreiung",Willy-Brandt-Platz --> Bahnhofstraße -->  Anger --> Angerbrunnen --> Regierungsstraße --> Kettenstraße -->  Domplatz --> Markstraße --> Fischmarkt --> Schlösserstraße --> Angerdreieck,2022-05-07 00:00:00,17.00 - 22.00 Uhr
68,2018-02-15 00:00:00,Einzelperson,ein christliches Zeichen setzen + Mahnwache,Erfurt-Marbach St. Christophorus-Straße,"07.03.2022
14.03.2022
21.03.2022
28.03.2022",19.00 - 20.30 Uhr
69,2022-03-04 00:00:00,"Internationalistisches Bündnis Erfurt
",Stoppt den Krieg in der Ukraine! Gegen jede imperialistische Aggression! Aktiv für den Weltfrieden!,Domplatz,2022-03-05 00:00:00,15.00 - 16.00
70,2022-03-10 00:00:00,"Alternative für Deutschland - AfD
","

Autokorso: Tag der Arbeit",Start: GVZ --> August-Borsig-Straße --> Weimarische Straße --> Stauffenbergallee --> Magdeburger Allee --> Ilversgehofener Platz --> Mainzer Straße --> Vilniuser Straße --> Warschauer Straße --> Nordhäuser Straße --> Moritzwallstraße --> Johannesstraße --> Juri-Gagarin-Ring --> Larl-Marx-Platz --> Dalbergsweg --> Benaryplatz --> Alfred-Hess-Straße --> Steigerstraße --> Schillerstraße --> Weimarische Straße --> Ziel: GVZ,2022-05-01 00:00:00,11.00 - 14.00 Uhr
71,2022-03-13 00:00:00,"Anoymus for the Voiceless
",Abschaffung des Tierleides durch Veganismus,Angerdreieck,2022-03-19 00:00:00,15.00 - 18.00 Uhr
72,2022-03-15 00:00:00,"ezra
","Gegen uns - Rassismus, rechte Gewalt und Migrantifa in Erfurt",Rathausbrücke ,2022-03-21 00:00:00,18.00 - 20.00 Uhr
73,2022-03-11 00:00:00,Jusos in der SPD Erfurt,"Tag der Arbeit , Solidarität ohne Grenzen!",Willy-Brandt-Platz,2022-05-01 00:00:00,08.00 - 18.00 Uhr
74,2022-03-15 00:00:00,Critical Mass Erfurt,"Aufmerksamkeit schaffen, für Verbesserung der Radverkehrsbedingungen in und um Erfurt","Willy-Brandt-Platz 2, 99084 Erfurt (Altstadt) 
Kreisverkehr Richtung Westen folgen 
Bürgermeister-Wagner-Straße, rechts abbiegen auf 
Juri-Gagarin-Ring, rechts abbiegen auf 
Trommsdorffstraße weiter in die 
Thälmannstraße – Leipziger Platz, inks abbiegen in die 
Leipziger Straße - Krämpferstraße rechts abbiegen in die 
Johannesstraße, links abbiegen in die 
Futterstraße, links abbiegen
Meienbergstraße –Krämpferstraße, links abbiegen in den 
Juri-Gagarin-Ring – Am Hügel, links abbiegen in die 
Augustinerstraße rechts (Johannesstraße)sofort links in die 
Franckestraße – Schlachthofstraße links abbiegen in die 
Friedrich-Engels-Straße, links abbiegen in die 
Fritz-Büchner-Straße, rechts abbiegen in die 
Stauffenbergallee, rechts abbiegen in die 
Magdeburger Allee bis Eislebener Straße, zurück 
Magdeburger Allee rechts abbiegen in die 
Schlüterstraße, Nordstraße, Talstraße – Bergstraße, rechts abbiegen in die 
Blumenstraße, links abbiegen in die 
Albrechtstraße, rechts abbiegen  in die Fröbelstraße,
rechts abbiegen Adam-Ries-Straße, 
rechts abbiegen in den Borntalweg,
rechts abbiegen in die Blumenstraße
Blumenstraße – Moritzwallstraße, rechts abbiegen in die 
Moritzstraße, rechts abbiegen in die 
Marbacher Gasse - Weiße Gasse links abbiegen in die 
Andreasstraße, rechts abbiegen in die 
Straße am Domplatz/Lauentor links abbiegen in die 
Maximilian-Welsch-Straße links in die 
Bonemilchstraße, links abbiegen in die 
Bonifaciusstraße – Walkmühlstraße , links abbiegen in die 
Wilhelm-Külz-Straße, rechts abbiegen in die 
Lutherstraße, links abbiegen in die 
Neuwerkstraße links abbiegen und rechts abbiegen in die 
Regierungsstraße, links abbiegen in die 
Lange Brücke, rechts abbiegen 
Marstallstraße, links abbiegen in die 
Meister-Eckehart-Straße, Paulstraße, rechts abbiegen 
Predigerstraße, links abbiegen in die Schlösserstraße,
Ende Fischmarkt
",,
75,2022-03-16 00:00:00,Neue Stärke Partei,Heraus zum 01. Mai 2022 in Erfurt - Kein Frieden mit System und Kapital!,"Karl-Reimann-Ring
Drosselberg Marktplatz
Friedrich-Engels-Straße ",2022-03-19 00:00:00,"12.00 - 13.00 Uhr
14.00 - 15.00 Uhr
16.00 - 17.00 Uhr"
76,2022-03-17 00:00:00,"DIE LINKE Stadtverband Erfurt
",Aufruf zum Frieden! Rückzug der russischen Truppen! Kein neues Wettrüsten!,Angerdreieck,2022-03-25 00:00:00,16.00 - 17.15 Uhr
77,2022-03-22 00:00:00,ver.di Vereinte Dienstleistungsgewerkschaft,Tarifverhandlungen im Sozial- und Erziehungsdienst,Theaterplatz,2022-05-07 00:00:00,11.45 - 12.45 Uhr
78,2022-03-29 00:00:00,Einzelperson,Klima-Mahnwache,Fischmarkt,01.04. - 22.04.2022,17.00 - 17.25 Uhr
79,2022-03-30 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz/ gegen Massentierhaltung,Angerbrunnen bis Anger 8,2022-04-09 00:00:00,14.00 - 17.00 Uhr
80,2018-02-19 00:00:00,Einzelperson,ein christliches Zeichen setzen + Mahnwache,Erfurt Marbach St-Christophorus-Straße,"04.04.2022
11.04.2022
25.04.2022",19.00 - 20.30 Uhr
81,2022-03-30 00:00:00,"Abgeordnetenbüro RedRoXX
","""Frieden ohne Aufrüstung! Nieder mit den Waffen""","Anger, vor Anger 1",2022-04-27 00:00:00,17.00 - 19.00 Uhr
82,2022-04-05 00:00:00,"DIE LINKE Erfurt - für Erfurter Friedensbündnis
",Ostermarsch - Abrüstung jetzt! Raketen zu Buntstiften!,Anger --> Bahnhofstraße --> Windhorststraße --> Friedrich-Ebert-Straße --> Käthe-Kollwitzstraße --> Chrsitian-Kittel-Straße --> Löberwallkaserne,2022-04-14 00:00:00,16.00 - 18.30 Uhr
83,2022-04-05 00:00:00,"SPD Erfurt
ABGESAGT 30.04.2022",Tag der Arbeit - Internationale Solidarität für den Frieden,Barfüßerstraße  / Junkersand Ecke Schlösserstraße ,2022-05-01 00:00:00,09.00 - 17.00 Uhr
84,2022-04-06 00:00:00,"""Unidedagdische Freiheit""
",Freie Impfentscheidung für alle - Freiheit für alle,Theaterplatz --> Maximilian-Welsch-Straße --> Bonemilchstraße --> Bonifaciusstraße --> Alfred-Hess-Straße --> Steigerstraße --> Schillerstraße --> Löberstraße -> Juri-Gagarin-Ring --> Krämpferstraße --> Anger --> Schlösserstraße --> Marktstraße --> Domplatz --> Lauentor --> Maximilian-Welsch-Straße --> Theaterplatz,2022-04-16 00:00:00,13.00 - 16.30 Uhr
85,2022-04-06 00:00:00,Deutsch-Russische Freundschaftsgesellschaft in Thüringen e.V.,61. Jahrestag des ersten bemannten Raumfluges der Menschheit 12.04.1961,Denkmal für Juri-Gagarin am Juri-Gagarin-Ring,2022-04-12 00:00:00,13.00 - 13.20 Uhr
86,2022-04-09 00:00:00,"Anoymus for the Voiceless
",Abschaffung des Tierleides durch Veganismus,Fischmarkt,2022-04-16 00:00:00,15.00 - 18.00 Uhr
87,2022-04-08 00:00:00,"Freies Kollektiv Kaffeetrichter
ABGESAGT AM 01.05.2022 ",Solidarität mit weltweit ausgebeuteten Arbeiter*innen,Innere Johannesmauer gegenüber der AWO,2022-05-01 00:00:00,11.00 - 16.00 Uhr
88,2022-04-08 00:00:00,"abgeordnetenbüro RedRoXX
",Idahobit: Internationaler Tag gegen Homo- und Transfeindlichkeit,Angerdreieck,2022-05-17 00:00:00,15.30 - 18.30 Uhr
89,2022-04-11 00:00:00,Einzelperson,Demokratie,Domplatz,2022-04-28 00:00:00,17.30 - 19.00 Uhr
90,2022-04-13 00:00:00,Verein Ukrainischer Landsleute in Thüringen e.V.,Das Andenken an die Opfer des Krieges in der Ukraine,Willy-Brandt-Platz,2022-04-16 00:00:00,15.00 - 16.00 Uhr
91,2022-04-11 00:00:00,Einzelperson,Corona Presseberichte,Anger,2022-04-16 00:00:00,11.00-17.00 Uhr
92,2022-04-08 00:00:00,VCD Erfurt,"Critical Mass ""Frischluft? Freiheit! Fahrrad!""",Aufzug Stadtgebiet Erfurt,2022-04-29 00:00:00,18.30 - 20.00 Uhr
93,2022-04-13 00:00:00,Freiwilligenvertretung der LKJ Thüringen e.V.,FreiwilligenFAIRdienste - Verbesserung der Bedingungen in Freiwilligendiensten,Platz am Anger 10,2022-04-30 00:00:00,12.00 - 14.00 Uhr
94,2022-04-12 00:00:00,"Albert Schweitzer Stiftung für unsere Mitwelt
",Tierschutz/ gegen Massentierhaltung,"Neuer Angerbrunnen bis Anger 8, 99084 Erfurt",2022-05-07 00:00:00,14.00 - 17.00 Uhr
95,2022-04-08 00:00:00,VCD,"Kidical Mass ""Für ein kinder- und fahrradfreundliches Erfurt""",Willy-Brandt-Platz --> Kurt-Schuhmacher-Str. --> Trommsdorffstraße --> Juri-Gagarin-Ring --> Wende Ecke Franckestraße --> Juri-Gagarin-Ring --> Krämpferstraße --> Meienbergstraße --> Wenigemarkt --> Kürschnergasse --> Junkersand --> Barfüßerstraße --> Weitergasse --> Keilhauergasse --> Lachsgasse --> Juri-Gagarin-Ring --> Dalbergsweb --> Walkmühlstraße --> Bonifaciusstraße --> Bonemilchstraße --> Maximilian-Welsch-Straße --> Theaterplatz ,2022-05-14 00:00:00,15.00 - 16.30 Uhr
